ID	Sites	Abundance
71e19a290c752b6f4d849e0af86c8bb4	BAL	0.000520002
71e19a290c752b6f4d849e0af86c8bb4	Saliva	0.001036615
71e19a290c752b6f4d849e0af86c8bb4	Oroph	0.000104677
71e19a290c752b6f4d849e0af86c8bb4	Nasal	6.67E-06
71e19a290c752b6f4d849e0af86c8bb4	Fecal	3.88E-06
2ba6fd42d2747428cad67ec783b4131d	BAL	0.00046557
2ba6fd42d2747428cad67ec783b4131d	Saliva	0.00123834
2ba6fd42d2747428cad67ec783b4131d	Oroph	0.000172423
2ba6fd42d2747428cad67ec783b4131d	Nasal	9.27E-06
2ba6fd42d2747428cad67ec783b4131d	Fecal	0
8365c56e7d1f57079c8821b426206d94	BAL	0
8365c56e7d1f57079c8821b426206d94	Saliva	4.36E-05
8365c56e7d1f57079c8821b426206d94	Oroph	1.41E-05
8365c56e7d1f57079c8821b426206d94	Nasal	0.000431445
8365c56e7d1f57079c8821b426206d94	Fecal	0.01037101
310ab433faac5fab0765d87127d7578f	BAL	0.002345237
310ab433faac5fab0765d87127d7578f	Saliva	0.00083149
310ab433faac5fab0765d87127d7578f	Oroph	0.000626472
310ab433faac5fab0765d87127d7578f	Nasal	1.60E-05
310ab433faac5fab0765d87127d7578f	Fecal	3.04E-05
c3a43e9dca56be145dbc08c893128e6f	BAL	0.004363791
c3a43e9dca56be145dbc08c893128e6f	Saliva	0.005024775
c3a43e9dca56be145dbc08c893128e6f	Oroph	0.001228762
c3a43e9dca56be145dbc08c893128e6f	Nasal	0.000358625
c3a43e9dca56be145dbc08c893128e6f	Fecal	9.08E-05
b8ebd974777e946c70174def839dd342	BAL	0.000436684
b8ebd974777e946c70174def839dd342	Saliva	0.000383717
b8ebd974777e946c70174def839dd342	Oroph	0.002898138
b8ebd974777e946c70174def839dd342	Nasal	0.00011445
b8ebd974777e946c70174def839dd342	Fecal	3.13E-05
9104e464668ba956eb9de3d3d2f9eb19	BAL	5.47E-06
9104e464668ba956eb9de3d3d2f9eb19	Saliva	7.83E-05
9104e464668ba956eb9de3d3d2f9eb19	Oroph	4.76E-05
9104e464668ba956eb9de3d3d2f9eb19	Nasal	0.006859199
9104e464668ba956eb9de3d3d2f9eb19	Fecal	0.007767707
b0b4dde3991e8da02f84cf77e5a35d63	BAL	0.006992457
b0b4dde3991e8da02f84cf77e5a35d63	Saliva	0.01695961
b0b4dde3991e8da02f84cf77e5a35d63	Oroph	0.014860487
b0b4dde3991e8da02f84cf77e5a35d63	Nasal	0.000434963
b0b4dde3991e8da02f84cf77e5a35d63	Fecal	0.000190476
4ddcfae7911092976b66d0799c96d4d7	BAL	6.60E-05
4ddcfae7911092976b66d0799c96d4d7	Saliva	7.26E-06
4ddcfae7911092976b66d0799c96d4d7	Oroph	2.47E-06
4ddcfae7911092976b66d0799c96d4d7	Nasal	3.10E-05
4ddcfae7911092976b66d0799c96d4d7	Fecal	0.002092087
edb02840fe91e2472e2935917600da98	BAL	0
edb02840fe91e2472e2935917600da98	Saliva	0.000255051
edb02840fe91e2472e2935917600da98	Oroph	3.22E-05
edb02840fe91e2472e2935917600da98	Nasal	3.68E-05
edb02840fe91e2472e2935917600da98	Fecal	0.014902092
385197fd9f310da44597d7a6a8ad6916	BAL	5.73E-06
385197fd9f310da44597d7a6a8ad6916	Saliva	0.000867013
385197fd9f310da44597d7a6a8ad6916	Oroph	0.000156689
385197fd9f310da44597d7a6a8ad6916	Nasal	0.000357179
385197fd9f310da44597d7a6a8ad6916	Fecal	0.031337985
a09d6150a76ed5b484f9157717ad126a	BAL	0
a09d6150a76ed5b484f9157717ad126a	Saliva	0
a09d6150a76ed5b484f9157717ad126a	Oroph	0
a09d6150a76ed5b484f9157717ad126a	Nasal	0
