ID	Sites	HigherAbundance
ff59f10bbc0b61796030b91d25ebebcd	Oroph	0.001205965
3c7228b66038b74285cde6a69d28a4bd	Oroph	0.008633444
052510a5ed0bc73052e812a6da0e9880	Oroph	0.004963078
2a9a3b52625c7372cebd6cf4ec05d13e	Oroph	0.000980742
70dbac76545ca7f0d29e40f47caf5706	BAL	0.002036952
fd7a44239c32098c3d6311af33082330	Oroph	0.000822481
2c982937754e6321f861027032db80f7	Fecal	0.013760871
1b8dec58597978264025b9eba656ffb5	Fecal	0.002570693
bf611493002f5918a68778bde2def567	Fecal	0.002411527
836cd5ea357ad392c00a7e48d921be1d	Fecal	0.003081189
fd44d4cb468fd7dc9b3227867714ed87	Fecal	0.010857084
99deb3c5ecb022ec05609ebd1112a557	Fecal	0.035208864
6616dc3bd6aeb3e26b9b2218290ea574	Fecal	0.004808811
47c305878bfc73bfeda34b2ae1a82ee1	Fecal	0.003272692
9db6065dfa5f306778c1a370f3267d73	Fecal	0.006192542
dc9ddb6b3c51c6926b26dc6d65ff66c3	Fecal	0.001531725
df37b62e507e32409df4885c1ad2ce14	Fecal	0.006137178
b15193fce14759d1c06728933e044af6	Fecal	0.004020266
333bbf9224442fc10cd497377d2b1d01	Fecal	0.001598477
9d5054752ed33d6a22bd0f96b5618b1c	Fecal	0.002236741
d900eb33f6b4bc449aab64df16ae18b2	Fecal	0.006751742
0a21726cd4952a96635576553da67787	Oroph	0.014763132
0a857f235b897d7c44e86f0c1b75c69b	Oroph	0.027587314
426a58d7fde254d8ff01fac25e36ff0e	Oroph	0.04041444
b3caf1cebbd99b08e7814febe747ea05	Oroph	0.002287589
54020de1a2128769e363d30add67582c	Nasal	0.002394603
6941eda7df776b8ff1deeb8824906b14	Saliva	0.002000183
fcb6828a045dc6a69bad8b8de33f7547	Saliva	0.003355665
2b869347e522205f1c4a919196e6b45b	Oroph	0.002477121
ba430d5e27861988066538a27c3742d0	Oroph	0.000856923
e811a0533e11feeb36b2121eb5d26458	Saliva	0.001895474
685b8b482de17e1f4b38ac8c79b4e65f	Oroph	0.001479476
